model_name,reduction_train,reduction_test,train_ratio,f1-test,f1-train
random_anomaly_perc,0.0,0.25,0.9,0.027210884353741496,0.029015134030136173
random_anomaly_perc,0.0,0.5,0.5,0.0193604697294295,0.030385113649746793
random_anomaly_perc,0.0,0.5,0.75,0.029238836802796753,0.032076667194677645
random_anomaly_perc,0.0,0.5,0.9,0.02122448979591836,0.02782286111755159
random_anomaly_perc,0.0,0.75,0.5,0.013361735089078234,0.02530889989852564
random_anomaly_perc,0.0,0.75,0.75,0.013639906469212782,0.028661666008685353
random_anomaly_perc,0.0,0.75,0.9,0.010945273631840795,0.028411706675435713
random_anomaly_perc,0.0,0.99,0.5,0.0012354830738818877,0.02939787485242031
random_anomaly_perc,0.0,0.99,0.75,0.000976324139614352,0.032011410007527434
random_anomaly_perc,0.0,0.99,0.9,0.0023529411764705885,0.0320275277924828
random_anomaly_perc,0.0,0.999,0.5,0.0,0.027434842249657067
random_anomaly_perc,0.0,0.999,0.75,0.0,0.03151658767772512
random_anomaly_perc,0.0,0.999,0.9,0.0,0.02946422672920658
random_half_half,0.0,0.0,0.5,0.05575352733106287,0.05558622502628813
random_half_half,0.0,0.0,0.75,0.054987783411712156,0.055254865697544474
random_half_half,0.0,0.0,0.9,0.05551516753684489,0.05516375370508272
random_half_half,0.0,0.25,0.5,0.04163980227810015,0.05526899502565919
random_half_half,0.0,0.25,0.75,0.04093778903768046,0.05571473075016124
random_half_half,0.0,0.25,0.9,0.04284186606068707,0.05449022975303645
random_half_half,0.0,0.5,0.5,0.029081113768175695,0.0553709128647058
random_half_half,0.0,0.5,0.75,0.028589458666008177,0.055801298929261015
random_half_half,0.0,0.5,0.9,0.029214808646473057,0.05635482395976223
random_half_half,0.0,0.75,0.5,0.014433509260685136,0.05584099424529354
random_half_half,0.0,0.75,0.75,0.014757041858377286,0.055520526832002245
random_half_half,0.0,0.75,0.9,0.01644817769655221,0.055105348460291734
random_half_half,0.0,0.99,0.5,0.000644532928471168,0.05492793911791959
random_half_half,0.0,0.99,0.75,0.000658346691092283,0.055462787302308914
random_half_half,0.0,0.99,0.9,0.0004973533695690788,0.05474147221826445
random_half_half,0.0,0.999,0.5,5.7240574981575685e-05,0.05488377591971047
random_half_half,0.0,0.999,0.75,5.721232925695488e-05,0.055325847229103726
random_half_half,0.0,0.999,0.9,0.0,0.05588985808187528
random_ones,0.0,0.0,0.5,0.0568947457340767,0.05689493797917884
random_ones,0.0,0.0,0.75,0.05690111910039466,0.056892749418254965
random_ones,0.0,0.0,0.9,0.05690054231217583,0.056894208459418665
random_ones,0.0,0.25,0.5,0.04328511688489751,0.05689493797917884
random_ones,0.0,0.25,0.75,0.04328511688489751,0.056892749418254965
random_ones,0.0,0.25,0.9,0.04329123035527601,0.056894208459418665
random_ones,0.0,0.5,0.5,0.02927694501443328,0.05689493797917884
random_ones,0.0,0.5,0.75,0.029283697118929367,0.056892749418254965
random_ones,0.0,0.5,0.9,0.029283391587111136,0.056894208459418665
random_ones,0.0,0.75,0.5,0.014852463645348018,0.05689493797917884
random_ones,0.0,0.75,0.75,0.014852463645348018,0.056892749418254965
random_ones,0.0,0.75,0.9,0.014859260566487249,0.056894208459418665
random_ones,0.0,0.99,0.5,0.000601546834717846,0.05689493797917884
random_ones,0.0,0.99,0.75,0.000601546834717846,0.056892749418254965
random_ones,0.0,0.99,0.9,0.0005729120042968401,0.056894208459418665
random_ones,0.0,0.999,0.5,5.732137227365223e-05,0.05689493797917884
random_ones,0.0,0.999,0.75,5.732137227365223e-05,0.056892749418254965
random_ones,0.0,0.999,0.9,3.5826242722794445e-05,0.056894208459418665
random_zeros,0.0,0.0,0.5,0.0,0.0
random_zeros,0.0,0.0,0.75,0.0,0.0
random_zeros,0.0,0.0,0.9,0.0,0.0
random_zeros,0.0,0.25,0.5,0.0,0.0
random_zeros,0.0,0.25,0.75,0.0,0.0
random_zeros,0.0,0.25,0.9,0.0,0.0
random_zeros,0.0,0.5,0.5,0.0,0.0
random_zeros,0.0,0.5,0.75,0.0,0.0
random_zeros,0.0,0.5,0.9,0.0,0.0
random_zeros,0.0,0.75,0.5,0.0,0.0
random_zeros,0.0,0.75,0.75,0.0,0.0
random_zeros,0.0,0.75,0.9,0.0,0.0
random_zeros,0.0,0.99,0.5,0.0,0.0
random_zeros,0.0,0.99,0.75,0.0,0.0
random_zeros,0.0,0.99,0.9,0.0,0.0
random_zeros,0.0,0.999,0.5,0.0,0.0
random_zeros,0.0,0.999,0.75,0.0,0.0
random_zeros,0.0,0.999,0.9,0.0,0.0
