model,train_ratio,reduction_test,f_score
KMeans,0.75,0.99,0.0014627966929875527
KMeans,0.75,0.999,0.0
KMeans,0.9,0.0,0.18312230662541135
KMeans,0.9,0.25,0.13855020251941869
KMeans,0.9,0.5,0.10894453082601314
KMeans,0.9,0.75,0.055465027986678184
KMeans,0.9,0.9,0.025545410203444585
KMeans,0.9,0.99,0.001770878288239441
KMeans,0.9,0.999,0.0
LocalOutlierFactor,0.5,0.0,0.036393697455622216
LocalOutlierFactor,0.5,0.25,0.032945277362015066
LocalOutlierFactor,0.5,0.5,0.024032671302822523
LocalOutlierFactor,0.5,0.75,0.020984737644054143
LocalOutlierFactor,0.5,0.9,0.007407407407407407
LocalOutlierFactor,0.5,0.99,0.005637021519710531
LocalOutlierFactor,0.5,0.999,0.0
LocalOutlierFactor,0.75,0.0,0.02416329907306424
LocalOutlierFactor,0.75,0.25,0.025603709002686166
LocalOutlierFactor,0.75,0.5,0.02106108837892938
LocalOutlierFactor,0.75,0.75,0.027225993009297768
LocalOutlierFactor,0.75,0.9,0.009623714458560194
LocalOutlierFactor,0.75,0.99,0.0
LocalOutlierFactor,0.75,0.999,0.0
LocalOutlierFactor,0.9,0.0,0.020775237432040593
LocalOutlierFactor,0.9,0.25,0.030062260376133493
LocalOutlierFactor,0.9,0.5,0.015374604364484424
LocalOutlierFactor,0.9,0.75,0.02361111111111111
LocalOutlierFactor,0.9,0.9,0.011111111111111112
LocalOutlierFactor,0.9,0.99,0.0
LocalOutlierFactor,0.9,0.999,0.0
LogisticRegression,0.5,0.0,0.8279722724605537
LogisticRegression,0.5,0.25,0.7816275803570882
LogisticRegression,0.5,0.5,0.7282095057150886
LogisticRegression,0.5,0.75,0.6281809102392767
LogisticRegression,0.5,0.9,0.43324812391395034
LogisticRegression,0.5,0.99,0.08004003811406711
LogisticRegression,0.5,0.999,0.0
LogisticRegression,0.75,0.0,0.8054843140930276
LogisticRegression,0.75,0.25,0.7807573100111631
LogisticRegression,0.75,0.5,0.7248132288626643
LogisticRegression,0.75,0.75,0.6022075940396561
LogisticRegression,0.75,0.9,0.4078063007416676
LogisticRegression,0.75,0.99,0.0710335228049884
LogisticRegression,0.75,0.999,0.0
LogisticRegression,0.9,0.0,0.8050233341413116
LogisticRegression,0.9,0.25,0.7545739024248681
LogisticRegression,0.9,0.5,0.7050062762645325
LogisticRegression,0.9,0.75,0.5858137996533634
LogisticRegression,0.9,0.9,0.37691917932160046
LogisticRegression,0.9,0.99,0.04977468423534083
LogisticRegression,0.9,0.999,0.0
SVC,0.5,0.0,0.9533266534691299
SVC,0.5,0.25,0.9432772718168503
SVC,0.5,0.5,0.9339739486208263
SVC,0.5,0.75,0.8990652232476795
SVC,0.5,0.9,0.8024761045744665
SVC,0.5,0.99,0.3194213815375823
SVC,0.5,0.999,0.0
SVC,0.75,0.0,0.9581104465193935
SVC,0.75,0.25,0.955198765335974
SVC,0.75,0.5,0.9454867890847473
SVC,0.75,0.75,0.9038577168651637
SVC,0.75,0.9,0.819030016443796
SVC,0.75,0.99,0.3347186147186147
SVC,0.75,0.999,0.0
SVC,0.9,0.0,0.9586227934065112
SVC,0.9,0.25,0.9489070077684773
SVC,0.9,0.5,0.9341852187327941
SVC,0.9,0.75,0.9129362317656173
SVC,0.9,0.9,0.8188592888592889
SVC,0.9,0.99,0.19555555555555557
SVC,0.9,0.999,0.0
random_anomaly_perc,0.5,0.0,0.11224108097260721
random_anomaly_perc,0.5,0.25,0.0897001011064388
random_anomaly_perc,0.5,0.5,0.0694144903422772
random_anomaly_perc,0.5,0.75,0.04343934188838991
random_anomaly_perc,0.5,0.9,0.020934022907705026
